index,speakerName,position,portraitKey,dialogueText
0,Alice,left,idle,"dialogue Text [0] left, Alice, idle"
1,Bob,right,idle,"dialogue Text [1] right, Bob, idle"
2,Alice,left,idle,"dialogue Text [2] left, Alice, idle"
3,Jack,middle,smile,"dialogue Text [3] middle, Jack, smile"
4,Alice,left,smile,"dialogue Text [4] left, Alice, smile"
5,Jack,middle,idle,"dialogue Text [5] middle, Jack, idle"
6,Bob,right,idle,"dialogue Text [6] right, Bob, idle"
7,Jack,middle,idle,"dialogue Text [7] middle, Jack, idle"
8,Alice,left,smile,"dialogue Text [8] left, Alice, smile"
9,Alice,left,smile,"dialogue Text [9] left, Alice, smile"
10,Bob,right,idle,"dialogue Text [10] right, Bob, idle"
